iter	Passed	Remaining
0	93	187149
1	111	111627
2	136	90661
3	170	85175
4	205	81920
5	237	78818
6	262	74817
7	297	74151
8	332	73564
9	367	73180
10	403	72916
11	433	71775
12	464	71044
13	497	70614
14	533	70599
15	567	70371
16	604	70455
17	637	70226
18	671	70010
19	706	69944
20	741	69852
21	777	69876
22	812	69808
23	846	69689
24	880	69548
25	912	69278
26	947	69267
27	982	69205
28	1013	68907
29	1045	68664
30	1081	68706
31	1115	68629
32	1151	68624
33	1185	68554
34	1220	68539
35	1254	68424
36	1288	68337
37	1322	68267
38	1356	68229
39	1407	68963
40	1435	68583
41	1473	68707
42	1502	68399
43	1575	70017
44	1603	69643
45	1632	69337
46	1654	68745
47	1695	68956
48	1740	69293
49	1760	68665
50	1789	68375
51	1824	68363
52	1858	68284
53	1903	68591
54	1945	68810
55	1978	68673
56	2001	68223
57	2034	68120
58	2070	68104
59	2107	68147
60	2133	67804
61	2163	67631
62	2196	67545
63	2241	67816
64	2277	67799
65	2310	67692
66	2360	68110
67	2413	68574
68	2466	69028
69	2504	69052
70	2554	69407
71	2615	70032
72	2650	69977
73	2690	70015
74	2734	70189
75	2782	70447
76	2813	70264
77	2850	70235
78	2885	70168
79	2919	70078
80	2954	70007
81	3007	70355
82	3037	70155
83	3086	70397
84	3128	70483
85	3165	70452
86	3218	70769
87	3253	70690
88	3292	70688
89	3329	70664
90	3373	70762
91	3411	70754
92	3457	70889
93	3492	70819
94	3528	70763
95	3573	70870
96	3629	71205
97	3699	71807
98	3855	74029
99	3997	75958
100	4075	76622
101	4101	76322
102	4177	76937
103	4283	78089
104	4323	78028
105	4464	79773
106	4544	80393
107	4606	80704
108	4684	81278
109	4765	81874
110	4822	82073
111	4910	82777
112	5009	83651
113	5070	83885
114	5132	84120
115	5190	84307
116	5301	85315
117	5374	85722
118	5477	86585
119	5528	86612
120	5576	86592
121	5665	87204
122	5714	87211
123	5816	87998
124	5894	88412
125	5990	89090
126	6050	89239
127	6114	89425
128	6195	89856
129	6237	89728
130	6291	89757
131	6372	90186
132	6470	90830
133	6509	90652
134	6553	90538
135	6608	90577
136	6656	90514
137	6704	90459
138	6764	90568
139	6828	90718
140	6895	90909
141	6996	91549
142	7057	91653
143	7111	91654
144	7158	91578
145	7219	91678
146	7244	91320
147	7299	91344
148	7372	91592
149	7418	91500
150	7491	91736
151	7536	91623
152	7588	91602
153	7632	91489
154	7691	91557
155	7732	91402
156	7772	91243
157	7806	91014
158	7838	90756
159	7875	90569
160	7922	90493
161	7963	90348
162	8011	90290
163	8047	90087
164	8087	89941
165	8123	89744
166	8158	89550
167	8202	89445
168	8263	89534
169	8299	89340
170	8341	89214
171	8397	89246
172	8436	89096
173	8470	88895
174	8513	88784
175	8561	88727
176	8598	88561
177	8644	88487
178	8683	88335
179	8718	88150
180	8756	88004
181	8798	87889
182	8849	87861
183	8898	87823
184	8942	87734
185	8993	87711
186	9053	87774
187	9096	87677
188	9140	87587
189	9179	87449
190	9229	87414
191	9273	87329
192	9312	87191
193	9359	87132
194	9405	87064
195	9448	86968
196	9490	86855
197	9530	86741
198	9578	86685
199	9620	86587
200	9658	86449
201	9699	86335
202	9741	86230
203	9779	86098
204	9816	85957
205	9860	85873
206	9901	85762
207	9942	85655
208	9992	85626
209	10031	85503
210	10083	85491
211	10118	85339
212	10153	85185
213	10194	85078
214	10235	84976
215	10285	84947
216	10325	84841
217	10363	84713
218	10416	84707
219	10452	84568
220	10487	84425
221	10524	84287
222	10549	84061
223	10572	83827
224	10605	83665
225	10639	83515
226	10674	83375
227	10710	83242
228	10743	83088
229	10770	82887
230	10806	82756
231	10841	82621
232	10875	82478
233	10912	82357
234	10949	82239
235	10985	82113
236	11017	81960
237	11054	81838
238	11087	81697
239	11120	81553
240	11157	81435
241	11194	81322
242	11230	81200
243	11266	81085
244	11302	80960
245	11337	80840
246	11374	80723
247	11409	80600
248	11442	80467
249	11479	80356
250	11515	80243
251	11551	80128
252	11586	80004
253	11620	79876
254	11656	79764
255	11687	79620
256	11721	79493
257	11755	79369
258	11790	79257
259	11826	79147
260	11861	79032
261	11897	78924
262	11930	78793
263	11963	78670
264	11998	78556
265	12034	78452
266	12068	78334
267	12098	78192
268	12133	78078
269	12167	77961
270	12201	77846
271	12236	77735
272	12269	77614
273	12305	77514
274	12335	77374
275	12372	77283
276	12402	77144
277	12438	77046
278	12471	76929
279	12506	76823
280	12540	76716
281	12574	76609
282	12610	76509
283	12645	76404
284	12676	76281
285	12711	76181
286	12746	76077
287	12782	75984
288	12813	75858
289	12839	75710
290	12873	75602
291	12908	75505
292	12944	75416
293	12979	75317
294	13013	75213
295	13050	75125
296	13085	75034
297	13121	74943
298	13157	74853
299	13193	74765
300	13231	74688
301	13266	74589
302	13302	74502
303	13338	74417
304	13374	74328
305	13411	74246
306	13453	74194
307	13489	74101
308	13524	74011
309	13560	73924
310	13595	73834
311	13630	73746
312	13666	73658
313	13702	73573
314	13737	73483
315	13768	73373
316	13803	73286
317	13838	73195
318	13873	73110
319	13907	73014
320	13943	72932
321	13977	72840
322	14012	72754
323	14048	72670
324	14076	72546
325	14104	72426
326	14138	72333
327	14172	72245
328	14203	72142
329	14237	72052
330	14271	71961
331	14304	71866
332	14340	71786
333	14375	71707
334	14411	71628
335	14442	71524
336	14478	71447
337	14512	71362
338	14548	71284
339	14582	71197
340	14615	71107
341	14650	71025
342	14682	70929
343	14718	70852
344	14753	70772
345	14784	70673
346	14820	70599
347	14856	70527
348	14892	70449
349	14928	70377
350	14964	70302
351	14999	70224
352	15035	70152
353	15068	70064
354	15104	69992
355	15140	69918
356	15173	69834
357	15210	69763
358	15245	69689
359	15281	69615
360	15314	69531
361	15350	69458
362	15384	69376
363	15419	69304
364	15454	69226
365	15489	69153
366	15525	69080
367	15557	68996
368	15593	68924
369	15627	68845
370	15663	68777
371	15696	68694
372	15729	68612
373	15764	68537
374	15799	68465
375	15832	68383
376	15865	68301
377	15899	68224
378	15933	68148
379	15970	68083
380	16005	68014
381	16037	67927
382	16070	67849
383	16105	67779
384	16136	67690
385	16172	67623
386	16206	67548
387	16236	67456
388	16272	67388
389	16305	67312
390	16336	67225
391	16371	67156
392	16406	67088
393	16442	67022
394	16477	66952
395	16509	66873
396	16543	66798
397	16578	66730
398	16613	66660
399	16648	66592
400	16679	66511
401	16715	66445
402	16750	66377
403	16785	66311
404	16820	66242
405	16854	66173
406	16890	66109
407	16924	66039
408	16961	65980
409	16994	65903
410	17026	65828
411	17062	65765
412	17097	65700
413	17133	65635
414	17168	65572
415	17201	65497
416	17234	65423
417	17266	65347
418	17298	65271
419	17333	65205
420	17368	65141
421	17404	65080
422	17438	65014
423	17474	64951
424	17508	64885
425	17540	64808
426	17575	64746
427	17610	64683
428	17647	64625
429	17681	64559
430	17719	64504
431	17750	64429
432	17786	64366
433	17821	64306
434	17856	64243
435	17893	64185
436	17924	64109
437	17956	64034
438	17991	63972
439	18026	63910
440	18061	63849
441	18096	63786
442	18127	63712
443	18161	63646
444	18193	63576
445	18230	63521
446	18265	63460
447	18298	63391
448	18332	63328
449	18365	63259
450	18398	63192
451	18428	63113
452	18463	63051
453	18498	62991
454	18529	62919
455	18564	62857
456	18600	62801
457	18635	62743
458	18670	62681
459	18706	62626
460	18742	62571
461	18773	62497
462	18806	62432
463	18834	62350
464	18860	62259
465	18886	62171
466	18921	62113
467	18956	62054
468	18992	61998
469	19027	61939
470	19074	61920
471	19115	61883
472	19154	61836
473	19211	61848
474	19276	61887
475	19310	61826
476	19340	61752
477	19364	61659
478	19395	61586
479	19464	61637
480	19486	61538
481	19522	61484
482	19557	61426
483	19598	61386
484	19636	61339
485	19688	61332
486	19737	61320
487	19780	61286
488	19806	61200
489	19832	61116
490	19877	61089
491	19898	60990
492	19948	60977
493	19979	60910
494	20015	60854
495	20070	60859
496	20103	60795
497	20151	60778
498	20193	60741
499	20240	60721
500	20299	60735
501	20344	60709
502	20379	60653
503	20426	60631
504	20469	60597
505	20503	60537
506	20541	60490
507	20587	60467
508	20634	60444
509	20667	60382
510	20703	60328
511	20744	60288
512	20786	60252
513	20827	60214
514	20869	60176
515	20900	60109
516	20936	60056
517	20980	60025
